agrupacion_principal|dimension|denominacion|orden|ocultar|icono
auto0|dim01|Población|10||
auto0|dim02|Hogares y familia|20||
auto1|dim11|Acceso a recursos económicos|10||
auto1|dim12|Brecha salarial|35||
auto1|dim13|Acceso a puestos jerárquicos|30||
auto1|dim14|Trabajo no remunerado|50||
auto1|dim15|Acceso a credenciales|40||
auto2|dim21|Acceso a la salud y salud sexual y reproductiva|10||
auto2|dim23|Violencia de género|20||
auto2|dim24|Seguridad en el espacio público|30||
auto3|dim31|Participación en la política|10||
auto3|dim32|Participación en puestos de decisión|20||
auto5|dim51|Programas del GCBA|10||
auto5|dim52|Gestión de los recursos humanos|20||
