dimension|indicador|denominacion|orden|fte|um|universo|def_con|def_ope|cob|desagregaciones|uso_alc_lim|metas|ods
dim15|bre_analf|Brecha de género en la tasa de analfabetismo de la población de 10 años y más (censal)|95|indec_censo|ipg1|Población de 10 años y más residente en CABA|Relación entre la tasa de analfabetismo de las mujeres de 10 años y más, respecto de la de los varones de 10 años y más. La tasa de analfabetismo es el porcentaje de la población de 10 años y más que no sabe leer ni escribir.|Cociente entre la tasa de analfabetismo de las mujeres de 10 años y más, y la de los varones de 10 años y más. La brecha se interpreta de la siguiente manera: si es mayor que 1, existe una brecha a favor de los hombres; si es menor que 1, existe una brecha a favor de la mujeres. Si es igual a 1, se da una situación de igualdad.|1960 - 1970 - 1980 - 1991 - 2001 - 2010|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 4. Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanante para todos. Más específicamente a la Meta 4.6 De aquí a 2030, asegurar que todos los jóvenes y una proporción considerable de los adultos, tanto hombres como mujeres, estén alfabetizados y tengan nociones elementales de aritmética.|true
dim12|bre_ing_cat_oc|Brecha de género en el ingreso de la ocupación principal  (neto de aguinaldo) por categoría ocupacional|70|dgeyc_eah|pje|Población ocupada con ingresos |Expresa las diferencias en el ingreso promedio de las mujeres con respecto al de los varones según la categoría ocupacional de la ocupación principal |Se calcula como la diferencia en el ingreso de mujeres y varones en relación al ingreso de los varones (por cien), para cada categoría de ocupación. Excluye los trabajadores sin pago y los que no tienen información en categoría ocupacional. Se ha imputado el valor de ingresos a aquellos casos que no responden el monto de los mismos. Los ingresos se presentan netos de aguinaldo.|2017||Los valores que asumen los indicadores estimados son similares a los publicados en los Informes de resultados de la Encuesta Trimestral de Ocupación e Ingresos (ETOI) del 4to. trimestre de 2017; las diferencias se explican porque son muestras diferentes.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.1 Poner fin a todas las formas de discriminación contra todas las mujeres y las niñas en todo el mundo.|true
dim12|bre_ing_norm_eah|Brecha de género en los ingresos normalizados por las horas trabajadas entre mujeres y varones|100|dgeyc_eah|ihf|Población ocupada remunerada de 10 años y más.|Da cuenta de las diferencias de ingresos  percibidos en la ocupación principal, normalizados por la cantidad de horas trabajadas en dicha ocupación, entre varones y mujeres. |Es el cociente entre el ingreso horario de la ocupación principal de los varones sobre el de las mujeres. Un valor mayor que 1 indica que los varones ganan -por hora- más que las mujeres y un valor menor a 1, lo contrario. Si el coeficiente es 1 seguido de decimales, estos últimos indican la proporción de ingreso que las mujeres deben adicionar para igualar a los varones. Esta proporción está calculada sobre el ingreso de las mujeres.|2011 en adelante||Incluye patrones y asalariados que se desempeñan en empresas privadas de 6 o más personas. En el caso de los asalariados, como aproximación a empleo registrado, se seleccionó solo a aquellos a los que se realiza descuento jubilatorio.  Entre 2012 y 2017 se ha imputado el valor de ingresos a aquellos casos que no declaran el monto de los mismos. En 2011, se ha excluido a los asalariados que perciben ingresos pero no declaran el monto de los mismos.Los datos difieren de los publicados anteriormente debido a cambio de la fuente de información.  ||
dim12|bre_ing_perc|Brecha de género en los ingreso de la población perceptora entre varones y mujeres (en porcentaje)|10|dgeyc_eah|pje|Población perceptora de ingresos residente en la CABA|Da cuenta de las diferencias de ingresos entre varones y mujeres dentro de la población perceptora según la fuente de ingresos (laborales, no laborales  o por jubilación o pensión).|Diferencia entre el ingreso de mujeres y varones en relación al ingreso de los varones, por cien. Se ha imputado el valor de ingresos a aquellos casos que no declaran el monto de los mismos.|2013 en adelante|Fuente de ingreso|||
dim12|bre_ing_prom|Brecha de género en el ingreso promedio de la ocupación principal (neto de aguinaldo) por calificación ocupacional|80|dgeyc_eah|pje|Población ocupada con ingresos |Expresa las diferencias en el ingreso promedio de las mujeres con respecto al de los varones según la calificación de la ocupación principal. Se asume la clasificación del Clasificador Nacional de Ocupaciones 2001 – Rev. 2006 (CNO) referida a la complejidad de las tareas ejercidas en la ocupación según el tipo de acciones realizadas y los objetos e instrumentos de trabajo utilizados. |Se calcula como la diferencia en el ingreso de mujeres y varones en relación al ingreso de los varones (por cien), para cada calificación de la ocupación. Excluye los trabajadores sin pago y los que no tienen información en categoría ocupacional. Se ha imputado el valor de ingresos a aquellos casos que no responden el monto de los mismos. Los ingresos se presentan netos de aguinaldo.|2017||Los valores que asumen los indicadores estimados son similares a los publicados en los Informes de resultados de la Encuesta Trimestral de Ocupación e Ingresos (ETOI) del 4to. trimestre de 2017; las diferencias se explican porque son muestras diferentes.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.1 Poner fin a todas las formas de discriminación contra todas las mujeres y las niñas en todo el mundo.|true
dim12|bre_ing_rama|Brecha de género en el ingreso promedio de la ocupación principal (neto de aguinaldo) por rama de actividad. Ciudad de Buenos Aires. Año 2017 |90|dgeyc_eah|pje|Población ocupada con ingresos |Expresa las diferencias en el ingreso promedio de las mujeres con respecto al de los varones según rama de actividad a la que se dedica el establecimiento donde trabaja la persona. La rama se determina a través de los bienes y servicios que produce y la naturaleza del proceso que realiza. La estandarización de la codificación en las encuestas a hogares corresponde a CAES MERCOSUR 1.0, que se comparte con la Encuesta Permanente de Hogares (EPH-INDEC) y la Encuesta Anual de Hogares (EAH–DGEyC) desde el año 2012, luego de su aplicación en el Censo Nacional de Población y Vivienda (CNP-2010).| calcula como la diferencia en el ingreso de mujeres y varones en relación al ingreso de los varones (por cien), para cada calificación de la ocupación.  Excluye los ocupados en la rama servicio doméstico a hogares, los trabajadores sin pago ya los que no tienen información en rama de actividad. Se ha imputado el valor de ingresos a aquellos casos que no responden el monto de los mismos.Los ingresos se presentan netos de aguinaldo. Otros incluye:  "Agricultura, Ganaderia, Caza, Silvicultura y Pesca", "Explotación de Minas y Canteras";  SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS, RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO" y "Actividades de organizaciones y organismos extraterritoriales".|2017||Los valores que asumen los indicadores estimados son similares a los publicados en los Informes de resultados de la Encuesta Trimestral de Ocupación e Ingresos (ETOI) del 4to. trimestre de 2017; las diferencias se explican porque son muestras diferentes.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.1 Poner fin a todas las formas de discriminación contra todas las mujeres y las niñas en todo el mundo.|true
dim11|calif_ocup|Calificación ocupacional de la población ocupada (en porcentaje)|90|dgeyc_eah|pje|Población ocupada residente en la CABA|Se asume la clasificación del Clasificador Nacional de Ocupaciones 2001 – Rev. 2006 (CNO) referida a la complejidad de las tareas ejercidas en la ocupación según el tipo de acciones realizadas y los objetos e instrumentos de trabajo utilizados. La calificación ocupacional es una de las dimensiones que articulan los grupos ocupacionales|Cociente entre cada una de las categorías de calificación ocupacional y la población ocupada, por cien; para cada uno de los sexos.|2011 en adelante|Sexo|||
dim32|cargos_supemp|Porcentaje de gerencias y cargos superiores de empresas públicas ocupados por mujeres. |70|dgeyc_webep|pje| Gerencias y cargos superiores en empresas públicas de la CABA:  Banco Ciudad, Lotería de la Ciudad, AUSA, SBASE, Corporación Buenos Aires Sur S.E, Corporación Antiguo Puerto Madero, Corporación Mercado Central, CEAMSE y UBATEC|Refiere al porcentaje de gerencias y/o cargos superiores en empresas públicas de CABA ocupados por mujeres|Cociente entre el número de gerencias y cargos superiores de empresas publicas CABA ocupados por mujeres  y el total de cargos superiores de empresas publicas CABA por 100|2018||||
dim23|cas_viol_gen|Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD)|10|ovd_csjn|per|Personas cuya situación de riesgo es evaluada por los equipos interdisciplinarios de la Oficina de Violencia Doméstica de la CSJN.|Refiere a la cantidad de personas afectadas por situaciones de violencia doméstica cuya situación de riesgo fuera evaluada por los equipos interdisciplinarios de la Oficina de Violencia Doméstica de la CSJN. Se entiende por persona afectada tanto a quien comparece ante la Oficina de Violencia Doméstica a realizar una presentación como a aquellas cuya situación, aún sin comparecer, es igualmente evaluada por los equipos de la OVD. En la mayor parte de los casos se trata de niñas, niños y adolescentes de 0 a 17 años. A partir del año 2017, la OVD proporciona la información relativa a las personas afectadas no comparecientes, lo cual explica el aumento significativo de personas de 0 a 17 años entre 2017 y 2018.  |--|2010 en adelante|Sexo, Grupo de edad|Los datos publicados difieren de los publicados anteriormente debido a rectificación de la información por parte de la fuente.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.2 Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación.|true
dim11|cond_pob_hog|Condición de pobreza de los hogares según relación ingresos/canastas de consumo de la CABA|10|dgeyc_eah_ipcba|pje|Hogares residentes en la CABA|El Sistema de Canastas de Consumo es el conjunto formado por las diferentes canastas que implican grados de satisfacción de las necesidades consideradas básicas, en una medida socialmente aceptable que es compatible con el estándar de vida de la población de la Ciudad. Se conforman cuatro canastas atendiendo los actuales perfiles de consumo de los hogares residentes en la Ciudad que incluyen los siguientes bienes y servicios: - Canasta alimentaria (CA): incluye el valor de los alimentos y bebidas que un hogar requiere para satisfacer sus necesidades básicas alimentarias. - Canasta alimentaria y de servicios del hogar (CAYSH): Incluye la CA más gastos en alquiler, expensas, electricidad, gas, agua, comunicaciones (telefonía fija, celular e internet) y transporte público. - Canasta de bienes y servicios mensuales (CBSM): Incluye la CAYSH más gastos en servicios para la educación, útiles escolares, artículos de limpieza, servicios de esparcimiento y bienes para el cuidado personal. - Canasta Total (CT): Incluye la CBSM más gastos en bienes y servicios estacionales o contingentes, como indumentaria para niños y adultos, gastos en remedios y salud y gastos de renovación o adquisición de bienes durables para el hogar. En segundo lugar, en las canastas se contemplan las necesidades de consumo de cada hogar según sus características particulares (ciclo vital, tamaño, edad de sus miembros, etc.) y no según las de un hogar promedio. Esta elección permite evaluar con mayor precisión el perfil de aquellos hogares que, en un momento determinado no alcanzarían los distintos niveles de consumo. (Ver: http://www.estadisticaciudad.gob.ar/eyc/?p=39236)|Cociente entre la cantidad de hogares que cuentan con un ingreso total familiar (ITF) correspondiente a cada categoría de la variable Relación ingresos-Canastas de Consumo del Sistema de Canastas de consumo de la Ciudad de Buenos Aires y el total de hogares, por cien. Se ha imputado el valor de ingresos a aquellos casos que no declaran el monto de los mismos.  |2011 en adelante|Sexo del jefe, Grupo de edad del jefe||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 1. Poner fin a la pobreza en todas sus formas en todo el mundo. Más específicamente a la Meta 1.2 De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales|true
